holding_pressure;holding_pressure_time;melt_temp;mold_temp;cooling_time;volume_flow;max_deformation;lego
173;14.1;254;54;18.3;100.5385;1.302423358;6x1_Lego
173;14.1;254;54;18.3;199.5385;1.3059012890000001;6x1_Lego
527;14.1;254;54;18.3;100.5385;0.9464480281;6x1_Lego
527;14.1;254;54;18.3;199.5385;0.9471244812;6x1_Lego
173;4.9;226;26;29.7;100.5385;0.9920956492;6x1_Lego
173;4.9;226;26;29.7;199.5385;1.005445361;6x1_Lego
527;4.9;226;26;29.7;100.5385;0.7370654345000001;6x1_Lego
527;4.9;226;26;29.7;199.5385;0.7522337437000001;6x1_Lego
173;4.9;254;26;29.7;100.5385;1.162549853;6x1_Lego
173;4.9;254;26;29.7;199.5385;1.1766506429999999;6x1_Lego
527;4.9;254;26;29.7;100.5385;0.8973748684;6x1_Lego
527;4.9;254;26;29.7;199.5385;0.9190095663;6x1_Lego
173;4.9;226;54;29.7;100.5385;1.405133367;6x1_Lego
173;4.9;226;54;29.7;199.5385;1.4285700319999999;6x1_Lego
527;4.9;226;54;29.7;100.5385;1.056327939;6x1_Lego
527;4.9;226;54;29.7;199.5385;1.0734354259999999;6x1_Lego
173;4.9;254;54;29.7;100.5385;1.566086411;6x1_Lego
173;4.9;254;54;29.7;199.5385;1.580143929;6x1_Lego
527;4.9;254;54;29.7;100.5385;1.247636557;6x1_Lego
527;4.9;254;54;29.7;199.5385;1.263182998;6x1_Lego
173;14.1;226;26;29.7;100.5385;0.8930937052000001;6x1_Lego
173;14.1;226;26;29.7;199.5385;0.8776375651;6x1_Lego
527;14.1;226;26;29.7;100.5385;0.6516259313;6x1_Lego
527;14.1;226;26;29.7;199.5385;0.6534659265999999;6x1_Lego
173;14.1;254;26;29.7;100.5385;0.8677178025000001;6x1_Lego
173;14.1;254;26;29.7;199.5385;0.8686000109;6x1_Lego
527;14.1;254;26;29.7;100.5385;0.6593755484;6x1_Lego
527;14.1;254;26;29.7;199.5385;0.6602458358000001;6x1_Lego
173;14.1;226;54;29.7;100.5385;1.225235224;6x1_Lego
173;14.1;226;54;29.7;199.5385;1.225182414;6x1_Lego
527;14.1;226;54;29.7;100.5385;0.9184455276;6x1_Lego
527;14.1;226;54;29.7;199.5385;0.9179403186;6x1_Lego
173;14.1;254;54;29.7;100.5385;1.220678449;6x1_Lego
173;14.1;254;54;29.7;199.5385;1.221508026;6x1_Lego
527;14.1;254;54;29.7;100.5385;0.9084928631999999;6x1_Lego
527;14.1;254;54;29.7;199.5385;0.9084900022;6x1_Lego
350;9.5;240;40;24.0;150.0385;0.9694570898999999;6x1_Lego
173;4.9;226;26;18.3;100.4507;0.7134872675;3x2_Lego
173;4.9;226;26;18.3;199.4507;0.7292148471000001;3x2_Lego
527;4.9;226;26;18.3;100.4507;0.48546564579999996;3x2_Lego
527;4.9;226;26;18.3;199.4507;0.5032262206;3x2_Lego
173;4.9;254;26;18.3;100.4507;0.8874189258;3x2_Lego
173;4.9;254;26;18.3;199.4507;0.9151285887;3x2_Lego
527;4.9;254;26;18.3;100.4507;0.6461259723;3x2_Lego
527;4.9;254;26;18.3;199.4507;0.6718968153;3x2_Lego
173;4.9;226;54;18.3;100.4507;0.9184485673999999;3x2_Lego
173;4.9;226;54;18.3;199.4507;0.9421092868;3x2_Lego
527;4.9;226;54;18.3;100.4507;0.6576653122999999;3x2_Lego
527;4.9;226;54;18.3;199.4507;0.6705097556;3x2_Lego
173;4.9;254;54;18.3;100.4507;1.113800883;3x2_Lego
173;4.9;254;54;18.3;199.4507;1.155622959;3x2_Lego
527;4.9;254;54;18.3;100.4507;0.8463600278000001;3x2_Lego
527;4.9;254;54;18.3;199.4507;0.8744396567;3x2_Lego
173;14.1;226;26;18.3;100.4507;0.6647236943;3x2_Lego
173;14.1;226;26;18.3;199.4507;0.6668637395;3x2_Lego
527;14.1;226;26;18.3;100.4507;0.4621655345;3x2_Lego
527;14.1;226;26;18.3;199.4507;0.4640102684;3x2_Lego
173;14.1;254;26;18.3;100.4507;0.6778382659000001;3x2_Lego
173;14.1;254;26;18.3;199.4507;0.6800256968;3x2_Lego
527;14.1;254;26;18.3;100.4507;0.4635328352000001;3x2_Lego
527;14.1;254;26;18.3;199.4507;0.4656764865;3x2_Lego
173;14.1;226;54;18.3;100.4507;0.8593299389;3x2_Lego
173;14.1;226;54;18.3;199.4507;0.8616406918;3x2_Lego
527;14.1;226;54;18.3;100.4507;0.6146489382;3x2_Lego
527;14.1;226;54;18.3;199.4507;0.6144472957;3x2_Lego
173;14.1;254;54;18.3;100.4507;0.8712733387999999;3x2_Lego
173;14.1;254;54;18.3;199.4507;0.874289155;3x2_Lego
527;14.1;254;54;18.3;100.4507;0.6175203322999999;3x2_Lego
527;14.1;254;54;18.3;199.4507;0.6187621951;3x2_Lego
173;4.9;226;26;29.7;100.4507;0.6839324236000001;3x2_Lego
173;4.9;226;26;29.7;199.4507;0.6985367537;3x2_Lego
527;4.9;226;26;29.7;100.4507;0.4642018974;3x2_Lego
527;4.9;226;26;29.7;199.4507;0.4813459218;3x2_Lego
173;4.9;254;26;29.7;100.4507;0.8516563773;3x2_Lego
173;4.9;254;26;29.7;199.4507;0.8771390319;3x2_Lego
527;4.9;254;26;29.7;100.4507;0.6179113388;3x2_Lego
527;4.9;254;26;29.7;199.4507;0.6418371797;3x2_Lego
173;4.9;226;54;29.7;100.4507;0.8948709369000001;3x2_Lego
173;4.9;226;54;29.7;199.4507;0.9175671339;3x2_Lego
527;4.9;226;54;29.7;100.4507;0.6367450953;3x2_Lego
527;4.9;226;54;29.7;199.4507;0.6552658677000001;3x2_Lego
173;4.9;254;54;29.7;100.4507;1.084680438;3x2_Lego
173;4.9;254;54;29.7;199.4507;1.125153542;3x2_Lego
527;4.9;254;54;29.7;100.4507;0.8261927365999999;3x2_Lego
527;4.9;254;54;29.7;199.4507;0.8531726598999999;3x2_Lego
173;14.1;226;26;29.7;100.4507;0.6335161924;3x2_Lego
173;14.1;226;26;29.7;199.4507;0.6316530108;3x2_Lego
527;14.1;226;26;29.7;100.4507;0.4266685545;3x2_Lego
527;14.1;226;26;29.7;199.4507;0.4272105396;3x2_Lego
173;14.1;254;26;29.7;100.4507;0.6280180216;3x2_Lego
173;14.1;254;26;29.7;199.4507;0.6282166839000001;3x2_Lego
527;14.1;254;26;29.7;100.4507;0.4237543046;3x2_Lego
527;14.1;254;26;29.7;199.4507;0.4242267609000001;3x2_Lego
173;14.1;226;54;29.7;100.4507;0.8217412233;3x2_Lego
173;14.1;226;54;29.7;199.4507;0.8222852348999999;3x2_Lego
527;14.1;226;54;29.7;100.4507;0.5998184085;3x2_Lego
527;14.1;226;54;29.7;199.4507;0.5998512506;3x2_Lego
173;14.1;254;54;29.7;100.4507;0.8203154206000001;3x2_Lego
173;14.1;254;54;29.7;199.4507;0.8208691478;3x2_Lego
527;14.1;254;54;29.7;100.4507;0.5956906080000001;3x2_Lego
527;14.1;254;54;29.7;199.4507;0.5965894461;3x2_Lego
350;9.5;240;40;24.0;149.9507;0.6326865554000001;3x2_Lego
350;9.5;240;40;24.0;219.9507;0.6330751181000001;3x2_Lego
350;9.5;240;40;24.0;79.9507;0.6322171092000001;3x2_Lego
600;9.5;240;40;24.0;149.9507;0.48450517649999997;3x2_Lego
100;9.5;240;40;24.0;149.9507;0.7758663893000001;3x2_Lego
350;9.5;260;40;24.0;149.9507;0.6371074319000001;3x2_Lego
350;9.5;220;40;24.0;149.9507;0.6332705617000001;3x2_Lego
350;9.5;240;60;24.0;149.9507;0.7698814869;3x2_Lego
350;9.5;240;20;24.0;149.9507;0.4934494197;3x2_Lego
350;16.0;240;40;24.0;149.9507;0.6303407550000001;3x2_Lego
350;3.0;240;40;24.0;149.9507;1.0006182190000001;3x2_Lego
350;9.5;240;40;31.989;149.9507;0.6183326244;3x2_Lego
350;9.5;240;40;16.011;149.9507;0.6844817995999999;3x2_Lego
173;4.9;226;26;18.3;100.635;0.7707662581999999;4x1_Lego
173;4.9;226;26;18.3;199.635;0.7850350142;4x1_Lego
527;4.9;226;26;18.3;100.635;0.6001068354;4x1_Lego
527;4.9;226;26;18.3;199.635;0.6000095010000001;4x1_Lego
173;4.9;254;26;18.3;100.635;0.9390380383;4x1_Lego
173;4.9;254;26;18.3;199.635;0.9588415026999999;4x1_Lego
527;4.9;254;26;18.3;100.635;0.7093048692;4x1_Lego
527;4.9;254;26;18.3;199.635;0.7259917855;4x1_Lego
173;4.9;226;54;18.3;100.635;1.048689961;4x1_Lego
173;4.9;226;54;18.3;199.635;1.05881381;4x1_Lego
527;4.9;226;54;18.3;100.635;0.7583116889;4x1_Lego
527;4.9;226;54;18.3;199.635;0.7761192322;4x1_Lego
173;4.9;254;54;18.3;100.635;1.2191745040000002;4x1_Lego
173;4.9;254;54;18.3;199.635;1.230705738;4x1_Lego
527;4.9;254;54;18.3;100.635;0.9296427369;4x1_Lego
527;4.9;254;54;18.3;199.635;0.9499695897;4x1_Lego
173;14.1;226;26;18.3;100.635;0.6887717843000001;4x1_Lego
173;14.1;226;26;18.3;199.635;0.6883952022000001;4x1_Lego
527;14.1;226;26;18.3;100.635;0.5966536403;4x1_Lego
527;14.1;226;26;18.3;199.635;0.5967169999999999;4x1_Lego
173;14.1;254;26;18.3;100.635;0.7176291943;4x1_Lego
173;14.1;254;26;18.3;199.635;0.7212827206;4x1_Lego
527;14.1;254;26;18.3;100.635;0.6440229416000001;4x1_Lego
527;14.1;254;26;18.3;199.635;0.6445840000999999;4x1_Lego
173;14.1;226;54;18.3;100.635;0.9252363443000001;4x1_Lego
